倩女幽魂手游科举答题器 科举答案大全_蚕豆网新闻
科举答案大全

2500、在明朝科举制度中，一甲进士称：|赐进士及第

2501、在明朝科举制度中，一甲进士的第二名叫做：|榜眼

2502、在明朝科举制度中，一甲进士的第一名叫做：|状元

2503、在明朝科举制度中，一甲进士的第三名叫做：|探花

2504、在明代，位于无锡东门苏家弄的_，是明末中国民间的政治中心之一。|东林书院

2505、在哪一年许海峰在洛衫矶奥运会上拿到了属于中国的第一枚金牌?|" 1984年"

2506、在倩女online中，很多BOSS都有特殊的技能，下列技能中属于突破任务BOSS武海的技能特点是：|砸烧饼

2507、在倩女online中，每一种元素攻击都有自己的特点，属于光属性攻击技能特点的是：|有一定几率附带失明效果

2508、在倩女online中，宁采臣受东厂委托向崔猛收债，请问委托他的官员是哪一位?|曾信

2509、在倩女online中，下列对于酆都109级BOSS鬼车描述不正确的是：|鬼车会释放光伤害陷阱

2510、在倩女online中，下列技能属于黑山老妖的技能特点是：|召唤出来的小怪会复活其它小怪

2511、在倩女中，很多剧情BOSS都有特殊的技能，下列技能中属于八大王的技能特点是：|插旗

2512、在倩女中，有多种改变玩家位置的技能，下列技能中属于只改变自身位置的移位技能的是：|虎跃涧

2513、在倩女中，有些技能使用后会在一段时间内改变自身的战斗属性，下列技能中不属于的是?|天涯比邻

2514、在倩女中，有一种技能释放时需要消耗怒气，下列技能中不属于的是?|换巢鸾凤

2515、在商朝，将占卜的结果用青铜刀刻在甲骨上，刻写的内容被称为：|卜辞

2516、在商朝，将占卜的结果用青铜刀刻在甲骨上的文字被称为：|甲骨文

2517、在盛唐时期，数次出访日本的高僧是：|鉴真

2518、在书法历史上，“法帖”之名相传由下列哪一位皇帝开始：|宋高祖 宋太宗 宋神宗

2519、在书法史上，不属于著名的书法四体的是：|宋体

2520、在书法史上，其字体被称为欧体：|欧阳询

2521、在书法史上，下列不属于北宋四家代表人物的是：|蔡邕

2522、在书法史上，下列哪一位不属于明中期“吴中四家”：|黄道周

2523、在书法史上，元朝书坛的核心人物是：|赵孟頫

2524、在书法史上，著名作品肚痛帖的作者是：|张旭

2525、在书法中，法帖指的是：|古代名人摹刻在石版或木板上的法书及其拓本

2526、在蔬菜中抗癌排第一位的是什么?|"红薯"

2527、在水中,蝌蚪不能变成青蛙的原因是?|"缺碘"

2528、在所有不同距离跨栏跑比赛中，尽管栏架高度各异，但越过栏架的个数都是相同的吗?|"相同"

2529、在天愿作比翼鸟的下半句是：|在地愿为连理枝

2530、在外流流域中，我国流往下列哪一洋的比例最大?|太平洋流域

2531、在我国被称为“中医始祖”的人是?|"扁鹊"

2532、在我国被誉为国饮的是：|茶

2533、在我国的历史中，以下哪位皇后在进宫前嫁过别人还生有孩子?|汉景帝之后王娡

2534、在我们的游戏中，出现了几种白泽，根据它的性格，它最不可能出现在哪个朝代呢?|靖康

2535、在西汉都城创办“太学”是汉武帝听从了下列哪位的建议：|董仲舒

2536、在下列明朝官职中，不属于正一品三公职位的是?|少傅

2537、在徐霞客的《江右游日记》中，江右指现在的哪个地方：|江西

2538、在亚运会历史上，泰国曼谷一共举办了多少次亚运会?|"4"

2539、在一般较大的寺院里，都有一座“大雄宝殿”，这“大雄“二字指的是什么?|"释伽牟尼的尊号"

2540、在一段时间内改变对方的战斗属性的技能，下列技能中不属于的是?|伤神续命

2541、在影视作品中常出现“三堂会审”的现象，这出自三法司制度，以下不属于宋代三法司的机构是：|都察院

2542、在羽毛球史上唯一一对获所有项目大满贯的选手是葛菲、顾俊?|"对"

2543、在原始社会晚期，第一位采用王位世袭制当上首领的是：|启

2544、在越南粽子是用什么包裹的?|"芭蕉叶"

2545、在折扇扇面上题字并进行装裱，可制成压镜的字画被称为：|扇面

2546、在郑和下西洋的船队中，有五种类型的船舶，其中什么船是当时世界上最大的船只?|宝船

2547、由此可推断，饮梨花酒需用,在中国古代，饮酒须讲究酒具。白乐天诗云：“红袖织绫夸柿叶，青旗沽酒真梨花。|翡翠杯

2548、在中国古代房屋中，客厅中间墙壁挂的一幅巨大字画被称为:|中堂画

2549、在中国国画中，画工指的是：|画面的形象

2550、在中国神话中，织女在天上负责：|编织云彩

2551、在中国书法史上，人称天下第一行书的书法作品是：|王羲之-兰亭序

2552、在诸葛亮的前出师表中所提及的，性行淑均，晓畅军事，试用於昔日，先帝称之曰能的将军是?|向宠

2553、在宗教色彩浓随的国家---印度，人们吃饭的时候大多使用盘子，并用哪只手抓取?|"右手"

2554、早餐是全天营养的三分之一，因此不能马虎。人们在早餐中除了摄入碳水化合物之外还应摄入什么?|"蛋白质"

2555、早穿被袄午穿纱，围着火炉吃西瓜，新疆地区夏季昼夜气温变化显著，其主要原因是砂石比水具有较小的?|比热容

2556、早在唐朝传入中国的一种基督教：|景教

2557、早知潮有信的下半句是：|嫁与弄潮儿

2558、造茧自缚

2559、曾经连续两次举办世界杯的国家是哪?|"墨西哥"

2560、炸馒头片时，怎么炸馒头外黄里嫩，既好吃又省油?|"先在冷水中浸一下，再放入油锅去炸"

2561、展子虞是下列哪一时代的画家：|隋朝

2562、战国时期主张环境保护，不要过分捕捞鱼鳖，要按时令进山伐树，使自然资源可持续利用的思想家是：|孟子

2563、张伯伦一共取得多少枚总冠军戒指? |"2次"

2564、张居正是明朝最伟大的政治家，也是中国历史上优秀的内阁首辅之一。请问下列皇帝中他没有辅佐过的是?|正德帝朱厚照

2565、张骞出使西域开辟了举世闻名的：|丝绸之路

2566、张骞出使西域是为了联合哪一部落?|大月支

2567、张遂，法号一行，他是唐朝高僧，也是著名的天文学家。其主要成就是主持编制了：|大衍历

2568、张遂修订的?|"《大衍历》"

2569、昭君出塞发生在下列哪一时期：|西汉

2570、昭君出塞后，她被匈奴的单于封为：|宁胡阏氏

2571、昭陵六骏是指唐太宗昭陵北阙前的六块骏马浮雕石刻，其中有一匹马的浮雕上刻有人物，是李世民的侍臣猛将。他的名字是：|丘行恭

2572、这把剑传说是由欧冶子和干将两大剑师联手所铸，他们为铸此剑，凿开茨山，放出山中溪水，引至铸剑炉旁。请问这把剑名为：|七星龙渊剑

2573、这一剧种流行于我国西北的陕西，甘肃，宁夏，新疆等地，又叫梆子腔，唱腔包括板路和彩腔两部分，请问这一剧种是：|秦腔

2574、珍珠在醋中会溶吗?|"会"

